,Case,acqlabel,acq_id,PhaseEncodingDirection_fmap,EffectiveEchoSpacing_fmap,TotalReadoutTime_fmap,RepetitionTime_fmap,EchoTime_fmap
316,sub-NDARAW179AYF/ses-HBNsiteRU/fmap,acq-dwi_dir-AP_epi,5de85fd940116e005bcf9562,j-,0.000414993,0.0427443,3.32,0.1002
317,sub-NDARAW179AYF/ses-HBNsiteRU/fmap,acq-dwi_dir-PA_epi,5de85fda40116e005bcf9565,j,0.000414993,0.0427443,3.32,0.1002
318,sub-NDARBC734UVY/ses-HBNsiteRU/fmap,acq-dwi_dir-AP_epi,5de868ae40116e0058c4fb4b,j-,0.000414993,0.0427443,3.32,0.1002
319,sub-NDARBC734UVY/ses-HBNsiteRU/fmap,acq-dwi_dir-PA_epi,5de868af40116e005bcf973f,j,0.000414993,0.0427443,3.32,0.1002
320,sub-NDARBE123PWH/ses-HBNsiteRU/fmap,acq-dwi_dir-AP_epi,5de8697640116e0057bcabaf,j-,0.000414993,0.0427443,3.32,0.1002
321,sub-NDARBE123PWH/ses-HBNsiteRU/fmap,acq-dwi_dir-PA_epi,5de8697740116e005bcf9778,j,0.000414993,0.0427443,3.32,0.1002
322,sub-NDARBF176LPM/ses-HBNsiteRU/fmap,acq-dwi_dir-AP_epi,5de86b5740116e005bcf97b3,j-,0.000414993,0.0427443,3.32,0.1002
323,sub-NDARBF176LPM/ses-HBNsiteRU/fmap,acq-dwi_dir-PA_epi,5de86b5840116e005bcf97b6,j,0.000414993,0.0427443,3.32,0.1002
324,sub-NDARBG574KF4/ses-HBNsiteRU/fmap,acq-dwi_dir-AP_epi,5de8709a40116e005bcf986a,j-,0.000414993,0.0427443,3.32,0.1002
325,sub-NDARBG574KF4/ses-HBNsiteRU/fmap,acq-dwi_dir-PA_epi,5de8709b40116e0054b7bda5,j,0.000414993,0.0427443,3.32,0.1002
326,sub-NDARBJ159HXB/ses-HBNsiteRU/fmap,acq-dwi_dir-AP_epi,5de874d540116e0045b3844d,j-,0.000414993,0.0427443,3.32,0.1002
327,sub-NDARBJ159HXB/ses-HBNsiteRU/fmap,acq-dwi_dir-PA_epi,5de874d640116e0058c4fc96,j,0.000414993,0.0427443,3.32,0.1002
328,sub-NDARCG073GZ6/ses-HBNsiteRU/fmap,acq-dwi_dir-PA_epi,5de89c8c40116e0058c50067,j,0.000550001,0.04565,5.301,0.0512
329,sub-NDARCH881EFG/ses-HBNsiteRU/fmap,acq-dwi_dir-AP_epi,5de8a4b340116e0058c50134,j-,0.000414993,0.0427443,3.32,0.1002
