,Case,acqlabel,acq_id,PhaseEncodingDirection_dwi,EffectiveEchoSpacing_dwi,TotalReadoutTime_dwi,RepetitionTime_dwi,EchoTime_dwi
125,sub-NDARMM137PT6/ses-HBNsiteRU/dwi,acq-64dir_dwi,5df490f1d566950078c1274a,j-,0.000414993,0.0427443,3.32,0.1002
126,sub-NDARMM326JCB/ses-HBNsiteRU/dwi,acq-64dir_dwi,5df491a9d566950078c1276a,j-,0.000414993,0.0427443,3.32,0.1002
127,sub-NDARMM951YEH/ses-HBNsiteRU/dwi,acq-64dir_dwi,5df4924fd566950059c05b77,j-,0.000414993,0.0427443,3.32,0.1002
128,sub-NDARMT732GKM/ses-HBNsiteRU/dwi,acq-64dir_dwi,5df4937dd566950078c1279e,j-,0.000414993,0.0427443,3.32,0.1002
129,sub-NDARMT784NED/ses-HBNsiteRU/dwi,acq-64dir_dwi,5df4942ad566950078c127b6,j-,0.000414993,0.0427443,3.32,0.1002
130,sub-NDARMV718DYL/ses-HBNsiteRU/dwi,acq-64dir_dwi,5df494c0d566950059c05b85,j-,0.000414993,0.0427443,3.32,0.1002
131,sub-NDARMZ687XRR/ses-HBNsiteRU/dwi,acq-64dir_dwi,5df49554d566950078c127d1,j-,0.000414993,0.0427443,3.32,0.1002
132,sub-NDARNC561KDP/ses-HBNsiteRU/dwi,acq-64dir_dwi,5df49604d566950078c127e6,j-,0.000414993,0.0427443,3.32,0.1002
133,sub-NDARND348HB3/ses-HBNsiteRU/dwi,acq-64dir_dwi,5df496c2d566950051c02560,j-,0.000414993,0.0427443,3.32,0.1002
134,sub-NDARNT541VT2/ses-HBNsiteRU/dwi,acq-64dir_dwi,5df497e8d566950078c12813,j-,0.000414993,0.0427443,3.32,0.1002
135,sub-NDARNV399BV4/ses-HBNsiteRU/dwi,acq-64dir_dwi,5df498fdd56695006cc0c46d,j-,0.000414993,0.0427443,3.32,0.1002
136,sub-NDARNX218UY5/ses-HBNsiteRU/dwi,acq-64dir_dwi,5df4998ad566950078c12849,j-,0.000414993,0.0427443,3.32,0.1002
137,sub-NDARPE056ACA/ses-HBNsiteRU/dwi,acq-64dir_dwi,5df499f4d566950057c03e92,j-,0.000414993,0.0427443,3.32,0.1002
138,sub-NDARPV145KGL/ses-HBNsiteRU/dwi,acq-64dir_dwi,5df49a90d566950078c1286f,j-,0.000414993,0.0427443,3.32,0.1002
139,sub-NDARPW313LAJ/ses-HBNsiteRU/dwi,acq-64dir_dwi,5df49b2cd56695006cc0c495,j-,0.000414993,0.0427443,3.32,0.1002
140,sub-NDARRA537FWW/ses-HBNsiteRU/dwi,acq-64dir_dwi,5df49bccd56695006cc0c49d,j-,0.000414993,0.0427443,3.32,0.1002
141,sub-NDARRA767WB7/ses-HBNsiteRU/dwi,acq-64dir_dwi,5df49c79d56695005bc07914,j-,0.000414993,0.0427443,3.32,0.1002
